File Name,Class Name,Object Number,Confidence,BoundingBox
IMG_3225_fee391183f15cb4d62773032fe0be92d_jpg.rf.7e6a5cef661a21635a97a39de5ffa821.jpg,Acral Lentiginous,3,0.093,"[397, 251, 522, 399]"
IMG_3225_fee391183f15cb4d62773032fe0be92d_jpg.rf.7e6a5cef661a21635a97a39de5ffa821.jpg,Lentigo Maligna,4,0.057,"[412, 265, 494, 356]"
nodular-melanoma-10__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.028fccf4bbd9ef2b222cec2382fdc34a.jpg,Acral Lentiginous,1,0.995,"[40, 19, 267, 197]"
nodular-melanoma-10__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.028fccf4bbd9ef2b222cec2382fdc34a.jpg,Nodular Melanoma,2,0.624,"[42, 18, 265, 196]"
nodular-melanoma-10__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.028fccf4bbd9ef2b222cec2382fdc34a.jpg,Lentigo Maligna,3,0.243,"[132, 20, 269, 182]"
nodular-melanoma-10__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.028fccf4bbd9ef2b222cec2382fdc34a.jpg,Acral Lentiginous,4,0.083,"[141, 18, 267, 177]"
DermNetNZ-melanoma-210__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.6cd979305dc02cc190178b4250c15d5e.jpg,Lentigo Maligna,1,0.859,"[0, 8, 270, 213]"
DermNetNZ-melanoma-210__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.6cd979305dc02cc190178b4250c15d5e.jpg,Acral Lentiginous,2,0.795,"[3, 3, 271, 213]"
DermNetNZ-melanoma-210__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.6cd979305dc02cc190178b4250c15d5e.jpg,Lentigo Maligna,3,0.057,"[81, 15, 211, 200]"
Angulated-lines-melanoma-TS-CG__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE5XQ_jpg.rf.87cff27f93994cf649a6b2b7cc91964d.jpg,Lentigo Maligna,1,0.994,"[41, 0, 277, 206]"
Angulated-lines-melanoma-TS-CG__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE5XQ_jpg.rf.87cff27f93994cf649a6b2b7cc91964d.jpg,Lentigo Maligna,2,0.824,"[26, 95, 139, 216]"
Angulated-lines-melanoma-TS-CG__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE5XQ_jpg.rf.87cff27f93994cf649a6b2b7cc91964d.jpg,Lentigo Maligna,3,0.227,"[22, 17, 169, 216]"
Angulated-lines-melanoma-TS-CG__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE5XQ_jpg.rf.87cff27f93994cf649a6b2b7cc91964d.jpg,Lentigo Maligna,4,0.109,"[109, 0, 273, 132]"
Angulated-lines-melanoma-TS-CG__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE5XQ_jpg.rf.87cff27f93994cf649a6b2b7cc91964d.jpg,Acral Lentiginous,5,0.073,"[40, 0, 277, 212]"
nail-pigment3__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.2a830e2171281453de029859da397b13.jpg,Acral Lentiginous,1,0.289,"[169, 82, 290, 187]"
nail-pigment3__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.2a830e2171281453de029859da397b13.jpg,Acral Lentiginous,2,0.124,"[23, 39, 124, 152]"
nail-pigment3__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.2a830e2171281453de029859da397b13.jpg,Acral Lentiginous,3,0.101,"[53, 58, 119, 132]"
nail-pigment3__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.2a830e2171281453de029859da397b13.jpg,Acral Lentiginous,4,0.081,"[178, 120, 260, 189]"
nail-pigment3__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.2a830e2171281453de029859da397b13.jpg,Acral Lentiginous,5,0.062,"[40, 90, 111, 147]"
IMG_2767_fee391183f15cb4d62773032fe0be92d_jpg.rf.1d8e2c33ad40dc161851f45465d32c4b.jpg,Acral Lentiginous,1,0.998,"[311, 181, 563, 415]"
IMG_2767_fee391183f15cb4d62773032fe0be92d_jpg.rf.1d8e2c33ad40dc161851f45465d32c4b.jpg,Lentigo Maligna,2,0.092,"[312, 182, 562, 415]"
atyp-strm__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.3eb50981d97dce7cea39992a20d6f44a.jpg,Lentigo Maligna,1,0.995,"[82, 30, 208, 164]"
atyp-strm__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.3eb50981d97dce7cea39992a20d6f44a.jpg,Nodular Melanoma,2,0.386,"[83, 25, 208, 169]"
atyp-strm__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.3eb50981d97dce7cea39992a20d6f44a.jpg,Acral Lentiginous,3,0.373,"[82, 25, 210, 169]"
nm__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.a1c1c1672f8ac20d3f26b1167e2ef010.jpg,Nodular Melanoma,1,1.0,"[89, 54, 216, 183]"
nm__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.a1c1c1672f8ac20d3f26b1167e2ef010.jpg,Acral Lentiginous,2,0.074,"[92, 52, 217, 183]"
nm__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.a1c1c1672f8ac20d3f26b1167e2ef010.jpg,cancer,3,0.062,"[88, 53, 215, 183]"
6059-lentigo-maligna-TS2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE5XQ_jpg.rf.bf67ab49d63a484f934dd8d380a5c93a.jpg,Lentigo Maligna,1,0.998,"[92, 57, 186, 155]"
6059-lentigo-maligna-TS2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE5XQ_jpg.rf.bf67ab49d63a484f934dd8d380a5c93a.jpg,Lentigo Maligna,2,0.19,"[21, 28, 129, 112]"
6059-lentigo-maligna-TS2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE5XQ_jpg.rf.bf67ab49d63a484f934dd8d380a5c93a.jpg,Lentigo Maligna,3,0.133,"[40, 31, 172, 136]"
6059-lentigo-maligna-TS2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE5XQ_jpg.rf.bf67ab49d63a484f934dd8d380a5c93a.jpg,Acral Lentiginous,4,0.062,"[92, 50, 187, 154]"
6059-lentigo-maligna-TS2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE5XQ_jpg.rf.bf67ab49d63a484f934dd8d380a5c93a.jpg,Nodular Melanoma,5,0.051,"[92, 50, 187, 154]"
solar-lentigo-08__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.26b5c32311f4340a31665a66c666ce25.jpg,Lentigo Maligna,1,0.984,"[42, 19, 231, 191]"
lplk-001__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDFd_jpg.rf.94797a24455f181771146d02ca166a27.jpg,Lentigo Maligna,1,1.0,"[67, 14, 253, 194]"
alm7__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.4a1a832c8d3ac3bb614ae4bd93183ac1.jpg,Acral Lentiginous,1,0.857,"[71, 20, 242, 202]"
alm7__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.4a1a832c8d3ac3bb614ae4bd93183ac1.jpg,Nodular Melanoma,2,0.852,"[69, 20, 220, 142]"
alm7__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.4a1a832c8d3ac3bb614ae4bd93183ac1.jpg,Acral Lentiginous,3,0.615,"[138, 67, 241, 206]"
alm7__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.4a1a832c8d3ac3bb614ae4bd93183ac1.jpg,Acral Lentiginous,4,0.083,"[81, 107, 240, 214]"
alm7__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.4a1a832c8d3ac3bb614ae4bd93183ac1.jpg,Lentigo Maligna,5,0.054,"[70, 20, 240, 189]"
alm7__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.4a1a832c8d3ac3bb614ae4bd93183ac1.jpg,Acral Lentiginous,6,0.053,"[167, 84, 231, 195]"
mel1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd-1-_jpg.rf.e0aa4347b4485652964736673d7329eb.jpg,Nodular Melanoma,1,0.987,"[71, 59, 145, 135]"
mel1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd-1-_jpg.rf.e0aa4347b4485652964736673d7329eb.jpg,Acral Lentiginous,2,0.097,"[71, 59, 144, 134]"
mel1__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd-1-_jpg.rf.e0aa4347b4485652964736673d7329eb.jpg,Lentigo Maligna,3,0.068,"[71, 59, 144, 134]"
nodular-melanoma-2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.8ebedb84170ebb05c18a303e43cb490b.jpg,Acral Lentiginous,1,0.818,"[101, 23, 277, 220]"
nodular-melanoma-2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.8ebedb84170ebb05c18a303e43cb490b.jpg,Lentigo Maligna,2,0.659,"[101, 27, 279, 219]"
nodular-melanoma-2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.8ebedb84170ebb05c18a303e43cb490b.jpg,Nodular Melanoma,3,0.402,"[100, 27, 277, 219]"
nodular-melanoma-2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.8ebedb84170ebb05c18a303e43cb490b.jpg,Lentigo Maligna,4,0.125,"[208, 13, 294, 192]"
lentigo-maligna-melanoma-dermoscopy-0__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDZd-8mm-4_jpg.rf.a7a61d37a26f1dde12dc6b7c449864a3.jpg,Lentigo Maligna,1,0.999,"[43, 33, 247, 214]"
lentigo-maligna-melanoma-dermoscopy-0__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDZd-8mm-4_jpg.rf.a7a61d37a26f1dde12dc6b7c449864a3.jpg,Lentigo Maligna,2,0.15,"[178, 128, 249, 196]"
solar-lentigo-28__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.1d01980328dc027f9afbcd52ee288f0d.jpg,Lentigo Maligna,1,0.449,"[65, 77, 156, 181]"
solar-lentigo-28__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.1d01980328dc027f9afbcd52ee288f0d.jpg,Acral Lentiginous,2,0.106,"[65, 78, 155, 183]"
solar-lentigo-28__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.1d01980328dc027f9afbcd52ee288f0d.jpg,Acral Lentiginous,3,0.068,"[252, 44, 294, 190]"
solar-lentigo-28__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.1d01980328dc027f9afbcd52ee288f0d.jpg,Lentigo Maligna,4,0.057,"[251, 44, 294, 192]"
alm-dermoscopy-5__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.58c740f090f1847b4facc7b1d574e50f.jpg,Acral Lentiginous,1,0.945,"[23, 14, 282, 210]"
alm-dermoscopy-5__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.58c740f090f1847b4facc7b1d574e50f.jpg,Lentigo Maligna,2,0.187,"[26, 10, 283, 206]"
spitzoid-melanoma-2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.71346733584f9e5215019aed90f641b6.jpg,Nodular Melanoma,1,0.968,"[62, 46, 210, 198]"
spitzoid-melanoma-2__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.71346733584f9e5215019aed90f641b6.jpg,Acral Lentiginous,2,0.648,"[63, 43, 210, 197]"
nm7-big__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.af478ea515e6196c781f303614f7d5c2.jpg,Acral Lentiginous,1,0.735,"[74, 13, 241, 212]"
nm7-big__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.af478ea515e6196c781f303614f7d5c2.jpg,Lentigo Maligna,2,0.408,"[74, 13, 241, 206]"
nm7-big__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.af478ea515e6196c781f303614f7d5c2.jpg,Nodular Melanoma,3,0.216,"[74, 13, 241, 212]"
nodular-melanoma-17__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.007dbd96d893e8914021be3ad4216c72.jpg,Nodular Melanoma,1,0.985,"[31, 7, 263, 210]"
nodular-melanoma-17__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.007dbd96d893e8914021be3ad4216c72.jpg,Acral Lentiginous,2,0.173,"[32, 9, 267, 209]"
